iter	RMSE
0	147906.2483
1	144291.6116
2	140778.6751
3	137416.2156
4	134095.2178
5	130938.8305
6	127805.2525
7	124785.3469
8	121868.3354
9	119044.7094
10	116435.0032
11	113857.7088
12	111335.0073
13	108903.786
14	106553.1585
15	104339.7689
16	102213.2695
17	100172.1934
18	98166.72536
19	96291.16879
20	94430.52989
21	92708.86681
22	90994.97831
23	89436.49554
24	87857.17006
25	86353.81843
26	84892.64828
27	83504.10563
28	82178.36893
29	80977.28877
30	79738.01205
31	78557.91612
32	77440.05575
33	76366.52025
34	75410.36636
35	74424.55715
36	73524.9261
37	72626.94368
38	71758.69927
39	70944.53386
40	70151.17809
41	69408.93822
42	68706.04784
43	67896.23746
44	67098.53853
45	66386.81244
46	65659.71232
47	64976.82132
48	64335.28931
49	63739.34135
50	63133.01772
51	62569.68133
52	62027.69593
53	61547.06873
54	61054.74811
55	60648.3425
56	60244.18728
57	59817.91175
58	59441.8897
59	59052.12416
60	58689.50615
61	58349.21136
62	58056.9492
63	57791.50019
64	57480.99893
65	57252.35802
66	56974.36453
67	56594.0195
68	56250.47187
69	55917.83888
70	55607.47424
71	55308.45013
72	55007.42405
73	54706.80282
74	54464.63534
75	54204.21973
76	53961.64911
77	53728.6245
78	53581.12086
79	53361.07976
80	53148.7698
81	52949.20759
82	52748.42598
83	52582.75467
84	52378.56416
85	52231.98726
86	52072.75466
87	51936.24474
88	51806.16341
89	51647.33839
90	51519.94417
91	51400.83209
92	51296.10921
93	51195.57463
94	51084.88995
95	50974.85811
96	50843.48938
97	50751.66424
98	50653.77924
99	50523.35086
100	50417.65471
101	50331.47589
102	50238.52846
103	50156.08647
104	50078.90877
105	49997.54448
106	49918.78165
107	49844.27334
108	49764.72561
109	49709.52746
110	49640.74981
111	49595.25493
112	49547.21606
113	49513.85796
114	49433.75593
115	49377.835
116	49343.53133
117	49285.24087
118	49219.55675
119	49167.27931
120	49139.59994
121	49088.64986
122	49045.84798
123	49009.89391
124	48966.07234
125	48928.49384
126	48888.31123
127	48837.19235
128	48797.66435
129	48750.71342
