iter	RMSE
0	147694.3403
1	144076.9243
2	140512.4105
3	137034.6676
4	133765.8929
5	130637.3506
6	127505.8037
7	124495.1544
8	121563.903
9	118768.7955
10	116057.429
11	113458.7485
12	110961.682
13	108596.3438
14	106265.0108
15	104029.5525
16	101920.151
17	99841.94485
18	97823.14226
19	95868.26733
20	94000.85508
21	92213.62745
22	90487.28782
23	88840.01082
24	87260.72784
25	85749.74434
26	84274.04757
27	82882.00178
28	81560.98241
29	80289.32833
30	79052.15411
31	77886.45313
32	76779.03189
33	75689.07211
34	74665.19188
35	73694.25168
36	72734.88747
37	71835.64557
38	70981.02919
39	70158.23517
40	69431.90195
41	68707.89427
42	68008.47179
43	67337.8695
44	66710.32381
45	66097.3878
46	65528.92891
47	64971.05491
48	64468.14982
49	63807.13766
50	63187.13778
51	62595.58311
52	62036.82604
53	61502.80733
54	60987.20971
55	60480.38141
56	60007.4977
57	59569.5456
58	59137.37743
59	58732.26256
60	58353.14528
61	58104.22166
62	57754.30168
63	57414.28236
64	57092.39528
65	56770.716
66	56497.21105
67	56232.90687
68	55975.36961
69	55734.22895
70	55503.23225
71	55263.57226
72	55067.22122
73	54856.13936
74	54557.13867
75	54293.63163
76	54031.089
77	53797.086
78	53595.85814
79	53375.07686
80	53146.12082
81	52953.01147
82	52748.86263
83	52616.67329
84	52426.99238
85	52268.12152
86	52080.76351
87	51940.02605
88	51798.3691
89	51666.08199
90	51527.73327
91	51364.62668
92	51209.45103
93	51066.8933
94	50932.78192
95	50814.13869
96	50662.28697
97	50536.82947
98	50432.63325
99	50335.65094
100	50211.4411
101	50105.71387
102	50037.21836
103	49918.07406
104	49834.46125
105	49750.8719
106	49661.88373
107	49574.20137
108	49483.38194
109	49421.72542
110	49354.45738
111	49280.52299
112	49235.4253
113	49168.7041
114	49099.87538
115	49037.89057
116	48978.92199
117	48944.43705
118	48913.0694
119	48881.63279
120	48859.50147
121	48806.84953
122	48763.66665
123	48713.1744
124	48686.13492
125	48628.49601
126	48589.94065
127	48559.75206
128	48543.21737
129	48518.39857
130	48500.39724
131	48471.92282
132	48441.00641
133	48411.13136
134	48393.46692
135	48373.91892
136	48346.20891
137	48301.79937
138	48246.95625
139	48214.40306
140	48178.35173
141	48170.36829
142	48133.13246
143	48114.35293
144	48106.47838
145	48081.92453
146	48065.15619
147	48046.46713
148	48030.11272
149	48015.10215
150	47977.82311
151	47945.02833
152	47910.85559
153	47904.83032
154	47872.88895
155	47870.12792
156	47837.12222
157	47818.69989
158	47817.6108
159	47800.73018
160	47786.33573
161	47760.83668
162	47745.69456
163	47722.27773
164	47693.59385
165	47680.84047
166	47663.64631
167	47652.20439
168	47636.095
169	47618.72392
170	47618.15034
171	47605.63898
172	47563.20866
173	47541.69048
174	47531.95244
175	47515.09712
176	47492.0083
177	47487.80937
178	47473.16445
179	47456.87031
180	47446.50787
181	47427.68378
182	47407.47952
183	47387.32135
184	47376.65072
185	47366.13084
186	47353.80685
187	47340.02826
188	47334.42832
189	47324.70158
190	47301.64738
191	47277.88345
192	47262.4924
193	47245.57821
194	47236.57121
195	47229.5084
196	47228.66513
197	47213.15283
198	47211.60017
199	47203.64159
200	47195.61464
201	47193.35265
202	47179.67202
203	47178.49959
204	47167.17793
205	47166.78612
206	47132.47281
207	47121.54099
208	47114.74994
209	47094.06469
210	47074.82574
211	47074.47948
212	47071.06803
213	47068.30656
214	47064.23745
215	47052.37211
216	47042.46526
217	47025.0088
218	47024.19152
219	47012.19486
220	46997.75485
221	46992.94279
222	46982.00528
223	46980.76276
224	46965.43013
225	46954.51857
226	46947.62183
227	46942.42164
228	46941.97243
229	46913.64067
230	46903.34841
231	46888.73473
232	46877.93529
233	46858.39424
234	46847.07267
235	46846.8184
236	46844.00616
237	46838.82959
238	46838.583
239	46834.63991
240	46829.25139
241	46822.23916
242	46822.05932
243	46821.13326
244	46820.9163
245	46809.71113
246	46799.10028
247	46785.56666
248	46785.07167
249	46769.55103
250	46754.76969
251	46749.85583
252	46741.8497
253	46729.73534
254	46718.85777
255	46718.45595
256	46718.26826
257	46712.72572
258	46694.10119
259	46690.46629
260	46689.65305
261	46685.83277
262	46682.69892
263	46682.34476
264	46682.17215
265	46667.9857
266	46658.10575
267	46657.92016
268	46656.87445
269	46652.40316
270	46631.96169
271	46631.60152
272	46626.19588
273	46622.35074
274	46622.20407
275	46622.05948
276	46621.92385
277	46612.09415
278	46612.01079
279	46593.00322
280	46592.87268
281	46592.65436
282	46575.0381
283	46574.63061
284	46574.51844
285	46571.35371
286	46565.68818
287	46563.14513
288	46560.08162
289	46554.9546
290	46554.24151
