iter	Passed	Remaining
0	3	5993
1	7	6203
2	11	6686
3	14	6356
4	15	5429
5	17	4974
6	20	5069
7	23	5017
8	26	4991
9	27	4694
10	29	4551
11	32	4632
12	37	4840
13	40	4860
14	44	5030
15	48	5132
16	49	4906
17	52	4954
18	54	4888
19	57	4880
20	59	4788
21	62	4788
22	63	4675
23	65	4618
24	70	4727
25	73	4779
26	76	4770
27	80	4841
28	84	4911
29	89	4986
30	92	5004
31	95	4978
32	97	4937
33	101	5004
34	104	4996
35	107	5002
36	109	4950
37	112	4931
38	115	4950
39	119	4978
40	120	4901
41	123	4912
42	125	4841
43	127	4831
44	130	4813
45	135	4885
46	138	4893
47	141	4900
48	143	4848
49	146	4852
50	148	4834
51	151	4836
52	156	4879
53	161	4950
54	165	4969
55	168	4977
56	170	4948
57	173	4934
58	175	4900
59	178	4895
60	182	4935
61	184	4888
62	187	4905
63	191	4924
64	195	4944
65	198	4946
66	200	4914
67	202	4891
68	205	4870
69	209	4899
70	212	4899
71	217	4947
72	220	4933
73	224	4953
74	227	4949
75	230	4942
76	233	4952
77	238	4990
78	242	4993
79	244	4973
80	247	4962
81	251	4983
82	253	4968
83	255	4945
84	258	4942
85	259	4899
86	263	4907
87	265	4895
88	268	4882
89	271	4881
90	273	4855
91	276	4859
92	281	4881
93	284	4888
94	289	4917
95	291	4900
96	296	4921
97	299	4920
98	303	4928
99	305	4908
100	307	4895
101	311	4902
102	315	4920
103	317	4896
104	320	4893
105	323	4892
106	327	4898
107	331	4910
108	335	4917
109	336	4893
110	339	4881
111	343	4893
112	346	4897
113	348	4876
114	351	4867
115	353	4848
116	356	4852
117	361	4876
118	365	4876
119	368	4873
120	369	4848
121	371	4824
122	373	4815
123	378	4832
124	382	4845
125	385	4837
126	388	4834
127	390	4820
128	391	4789
129	394	4784
130	395	4765
131	399	4766
132	403	4775
133	406	4773
134	409	4767
135	412	4763
136	415	4761
137	417	4752
138	420	4748
139	426	4774
140	430	4781
141	432	4771
142	435	4769
143	439	4768
144	439	4738
145	441	4727
146	446	4738
147	449	4738
148	453	4746
149	455	4733
150	460	4746
151	463	4747
152	468	4760
153	471	4762
154	475	4764
155	480	4778
156	482	4767
157	485	4765
