iter	Passed	Remaining
0	3	5249
1	5	4651
2	8	4601
3	10	4371
4	11	3756
5	11	3394
6	16	4067
7	19	4195
8	22	4182
9	25	4313
10	26	4156
11	29	4109
12	30	4021
13	32	3927
14	34	3943
15	37	3940
16	40	4033
17	43	4093
18	45	4000
19	46	3885
20	48	3864
21	49	3825
22	52	3881
23	54	3810
24	56	3814
25	57	3736
26	60	3745
27	61	3706
28	63	3689
29	66	3699
30	69	3743
31	70	3699
32	72	3692
33	75	3697
34	77	3688
35	82	3816
36	83	3787
37	86	3798
38	89	3840
39	93	3878
40	96	3935
41	98	3888
42	100	3872
43	104	3934
44	107	3962
45	108	3914
46	108	3839
47	110	3810
48	111	3780
49	113	3751
50	114	3714
51	114	3661
52	116	3651
53	117	3601
54	119	3591
55	122	3616
56	125	3637
57	128	3660
58	131	3665
59	132	3641
60	137	3716
61	139	3692
62	142	3717
63	145	3738
64	148	3743
65	151	3757
66	156	3840
67	158	3833
68	162	3861
69	165	3879
70	170	3926
71	172	3930
72	174	3913
73	177	3909
74	178	3892
75	180	3869
76	182	3856
77	185	3869
78	189	3906
79	192	3912
80	194	3905
81	196	3892
82	199	3899
83	202	3916
84	206	3936
85	208	3938
86	210	3927
87	211	3897
88	214	3898
89	215	3881
90	218	3883
91	222	3906
92	224	3901
93	226	3885
94	227	3866
95	230	3878
96	232	3863
97	235	3869
98	237	3865
99	239	3856
100	240	3826
101	243	3831
102	245	3824
103	246	3808
104	248	3799
105	251	3808
106	255	3822
107	259	3842
108	261	3834
109	263	3826
110	265	3820
111	267	3807
112	269	3801
113	271	3794
114	274	3798
115	276	3795
116	279	3797
117	280	3780
118	284	3804
119	287	3810
120	291	3820
121	295	3835
122	297	3833
123	301	3853
124	302	3834
125	305	3836
126	308	3846
127	311	3848
128	315	3861
129	319	3873
130	321	3872
131	324	3877
132	326	3868
133	329	3865
134	331	3860
135	334	3870
136	337	3872
137	342	3895
138	356	4021
139	359	4026
140	362	4026
141	367	4052
142	370	4056
143	373	4061
144	376	4057
145	377	4039
146	380	4037
147	382	4036
148	385	4033
149	388	4034
150	391	4041
151	393	4030
152	395	4023
153	399	4035
154	404	4056
155	408	4063
156	412	4073
157	415	4074
158	418	4078
159	420	4067
160	422	4055
161	424	4049
162	428	4061
163	432	4068
164	434	4062
165	437	4060
166	440	4060
167	443	4066
168	446	4069
169	450	4072
170	453	4075
171	455	4069
172	459	4074
173	462	4076
174	465	4079
175	467	4069
176	469	4064
177	473	4070
178	476	4069
179	480	4080
180	484	4084
181	486	4079
182	489	4076
183	490	4065
184	494	4069
185	498	4080
186	503	4094
187	506	4091
188	507	4076
189	509	4068
190	510	4055
191	513	4054
192	516	4051
193	517	4041
194	520	4041
195	523	4036
196	526	4037
197	528	4031
198	532	4039
199	536	4042
200	537	4026
201	539	4023
202	541	4017
203	546	4026
204	548	4024
205	551	4019
206	554	4020
207	555	4009
208	558	4009
209	562	4010
210	564	4007
211	567	4002
212	569	4000
213	572	3996
214	573	3984
215	575	3973
216	576	3962
217	580	3966
218	585	3980
219	587	3975
220	590	3974
221	594	3980
222	596	3974
223	599	3969
224	603	3976
225	606	3978
226	631	4120
227	636	4129
228	644	4161
229	648	4164
230	652	4170
231	657	4184
232	661	4190
233	666	4197
234	668	4187
235	687	4285
236	692	4296
237	696	4302
238	700	4304
239	704	4307
240	706	4301
241	710	4304
242	715	4311
243	719	4314
244	720	4304
245	724	4308
246	728	4306
247	729	4296
248	734	4302
249	738	4309
250	744	4320
251	748	4327
252	751	4319
253	754	4318
254	757	4315
255	761	4321
256	765	4324
257	769	4323
258	771	4315
259	775	4319
260	780	4324
261	784	4328
262	788	4334
263	793	4342
264	799	4352
265	801	4345
266	805	4345
267	809	4347
268	813	4349
269	817	4354
270	821	4355
271	826	4363
272	830	4368
273	832	4358
274	837	4361
275	840	4361
276	844	4360
277	847	4358
278	850	4354
279	851	4343
280	853	4334
281	858	4339
282	861	4335
283	865	4338
284	867	4331
285	869	4321
286	872	4321
287	875	4315
288	878	4311
289	881	4311
290	885	4309
291	888	4307
292	890	4301
293	892	4293
294	895	4288
295	897	4280
296	900	4279
297	902	4270
298	906	4269
299	907	4259
300	909	4252
301	911	4245
302	914	4241
303	915	4228
304	917	4221
305	919	4213
306	923	4214
307	925	4207
308	928	4203
309	930	4194
310	932	4189
311	934	4180
312	936	4175
313	939	4170
314	941	4164
315	944	4159
316	947	4158
317	950	4152
318	951	4144
319	955	4143
320	957	4139
321	960	4135
322	962	4128
323	964	4120
324	967	4115
325	971	4116
326	973	4110
327	974	4099
328	976	4094
329	978	4088
330	982	4086
331	984	4081
332	987	4078
333	989	4071
334	992	4068
335	994	4060
336	998	4062
337	1000	4053
338	1003	4054
339	1006	4048
340	1008	4043
341	1011	4040
342	1014	4038
343	1016	4029
344	1020	4033
345	1024	4032
346	1026	4027
347	1030	4025
348	1032	4021
349	1036	4019
350	1040	4020
351	1042	4015
352	1044	4008
353	1046	4001
354	1048	3995
355	1049	3987
356	1050	3976
357	1053	3973
358	1055	3965
359	1057	3960
360	1060	3958
361	1063	3954
362	1066	3951
363	1069	3949
364	1072	3946
365	1075	3942
366	1078	3939
367	1081	3936
368	1083	3930
369	1087	3932
370	1090	3929
371	1092	3922
372	1094	3915
373	1096	3909
374	1099	3908
375	1103	3909
376	1105	3904
377	1108	3898
378	1110	3894
379	1113	3891
380	1115	3883
381	1117	3880
382	1119	3873
383	1122	3869
384	1124	3864
385	1128	3864
386	1131	3863
387	1135	3864
388	1140	3868
389	1142	3860
390	1143	3852
391	1145	3845
392	1147	3840
393	1151	3840
394	1153	3834
395	1156	3830
396	1159	3827
397	1161	3823
398	1164	3821
399	1168	3820
400	1169	3813
401	1174	3815
402	1177	3814
403	1180	3810
404	1184	3811
405	1190	3817
406	1205	3852
407	1229	3915
408	1235	3923
